questionId,questionText,goal,description,opt0_text,opt1_text,opt2_text,opt3_text
6978410e6874dd0b3840a96d,You have access to simple tools or formats to understand students’ learning levels.,Access,A1. Continuous learning diagnostics,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a96e,These tools help you clearly identify what students are struggling with.,Usability,A1. Continuous learning diagnostics,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a96f,You get time or support to act on diagnostic insights.,Follow-through,A1. Continuous learning diagnostics,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a970,Diagnostic insights are discussed with other teachers (meetings / peer learning circles).,Collective use,A1. Continuous learning diagnostics,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a971,Students are informed about what they are working towards based on diagnostics.,Student clarity,A1. Continuous learning diagnostics,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a972,You have a clear plan or pathway for your professional growth aligned to NEP.,Structure,A2. Teacher Development & Growth Support,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a973,You have safe spaces to discuss classroom challenges openly.,Safety,A2. Teacher Development & Growth Support,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a974,You have opportunities to learn from other teachers regularly.,Peer learning,A2. Teacher Development & Growth Support,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a975,You are encouraged to try new approaches without fear of evaluation.,Experimentation,A2. Teacher Development & Growth Support,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a976,Teacher growth is discussed beyond annual reviews.,Growth culture,A2. Teacher Development & Growth Support,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a977,You clearly understand what to observe beyond marks for HPC.,Understanding,A3. Holistic Progress Card,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a978,HPC indicators are clearly explained and documented.,Clarity,A3. Holistic Progress Card,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a979,You get time to record and reflect on HPC inputs.,Time,A3. Holistic Progress Card,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a97a,HPC discussions are used to guide learning conversations.,Use,A3. Holistic Progress Card,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a97b,Students are involved in reflecting on their own progress.,Student role,A3. Holistic Progress Card,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a97c,You feel supported in communicating learning progress to parents.,Communication,A4. Parent & Community Support,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a97d,You receive clear guidance on how to engage parents meaningfully.,Guidance,A4. Parent & Community Support,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a97e,Community interactions are facilitated by the school (not left to you alone).,Facilitation,A4. Parent & Community Support,Strongly Agree,Agree,Disagree,Strongly Disagree
6978410e6874dd0b3840a97f,Efforts to involve parents or community are recognised.,Recognition,A4. Parent & Community Support,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9a7,You have a clearly identified role or team responsible for NEP implementation.,Ownership,B1. NEP Governance & Ownership,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9a8,NEP priorities are translated into term-wise focus areas.,Translation,B1. NEP Governance & Ownership,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9a9,Responsibility for NEP implementation is shared across the school.,Distribution,B1. NEP Governance & Ownership,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9aa,You review learning diagnostic insights at leadership level.,Review,B2. Data-Informed Decision Culture,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9ab,Academic decisions are influenced by learning trends.,Decisions,B2. Data-Informed Decision Culture,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9ac,Teachers are supported when data suggests changes are needed.,Support,B2. Data-Informed Decision Culture,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9ad,You have regular and purposeful teacher reflection forums.,Peer learning circles,B3. Teacher Development Culture,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9ae,Teachers are encouraged to share challenges without fear.,Safety,B3. Teacher Development Culture,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9af,Experimentation is protected and valued by leadership.,Experimentation,B3. Teacher Development Culture,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9b0,"HPC is discussed as a learning narrative, not just reporting.",Purpose,B4. HPC & Reporting Culture,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9b1,Parents are oriented to what HPC represents.,Parent clarity,B4. HPC & Reporting Culture,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9b2,Teachers are supported in shifting beyond marks-based reporting.,Teacher support,B4. HPC & Reporting Culture,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9b3,You have a school-level approach to parent engagement.,Strategy,B5. Parent & Community Partnerships,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9b4,Community resources are identified and used intentionally.,Activation,B5. Parent & Community Partnerships,Strongly Agree,Agree,Disagree,Strongly Disagree
697843ef6874dd0b3840a9b5,Parent feedback is used to improve learning processes.,Feedback,B5. Parent & Community Partnerships,Strongly Agree,Agree,Disagree,Strongly Disagree
697849d2fe146afa330245f7,विद्यार्थ्यांची अध्ययन पातळी समजून घेण्यासाठी सोपी साधने किंवा स्वरूपे तुम्हाला उपलब्ध आहेत.,Access,A1. Continuous learning diagnostics,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
697849d2fe146afa330245f8,ही साधने विद्यार्थ्यांना नेमकी कुठे अडचण येत आहे हे स्पष्टपणे ओळखण्यास मदत करतात.,Usability,A1. Continuous learning diagnostics,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
697849d2fe146afa330245f9,निदानात्मक निष्कर्षांवर कृती करण्यासाठी तुम्हाला पुरेसा वेळ किंवा आवश्यक पाठबळ मिळते.,Follow-through,A1. Continuous learning diagnostics,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
697849d2fe146afa330245fa,निदानात्मक निष्कर्षांवर इतर शिक्षकांसोबत (बैठका / सहकारी अध्ययन गट) चर्चा केली जाते.,Collective use,A1. Continuous learning diagnostics,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
697849d2fe146afa330245fb,निदानात्मक माहितीनुसार विद्यार्थी कोणत्या उद्दिष्टासाठी काम करत आहेत याची त्यांना स्पष्ट कल्पना दिली जाते.,Student clarity,A1. Continuous learning diagnostics,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
697849d2fe146afa330245fc,तुमच्या व्यावसायिक विकासासाठी NEP शी संलग्न असा स्पष्ट आराखडा किंवा मार्ग तुमच्याकडे आहे.,Structure,A2. Teacher Development & Growth Support,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
697849d2fe146afa330245fd,वर्गातील अडचणी मोकळेपणाने मांडण्यासाठी सुरक्षित वातावरण उपलब्ध आहे.,Safety,A2. Teacher Development & Growth Support,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
697849d2fe146afa330245fe,इतर शिक्षकांकडून नियमितपणे शिकण्याच्या संधी तुम्हाला मिळतात.,Peer learning,A2. Teacher Development & Growth Support,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
697849d2fe146afa330245ff,मूल्यमापनाची भीती न ठेवता नवीन पद्धती वापरण्यास तुम्हाला प्रोत्साहन दिले जाते.,Experimentation,A2. Teacher Development & Growth Support,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
697849d2fe146afa33024600,शिक्षकांच्या विकासावर वार्षिक आढाव्यापलीकडे जाऊन चर्चा केली जाते.,Growth culture,A2. Teacher Development & Growth Support,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
697849d2fe146afa33024601,HPC साठी गुणांपलीकडे काय निरीक्षण करायचे आहे हे तुम्हाला स्पष्टपणे माहित आहे.,Understanding,A3. Holistic Progress Card,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
697849d2fe146afa33024602,HPC चे निदर्शक स्पष्टपणे समजावून सांगितलेले व नमूद केलेले आहेत.,Clarity,A3. Holistic Progress Card,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
697849d2fe146afa33024603,HPC संदर्भातील निरीक्षणे नोंदवण्यासाठी आणि त्यावर चिंतन करण्यासाठी तुम्हाला वेळ मिळतो.,Time,A3. Holistic Progress Card,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
697849d2fe146afa33024604,HPC वरील चर्चांचा उपयोग अध्यापन-अध्ययन विषयक संवादांना दिशा देण्यासाठी केला जातो.,Use,A3. Holistic Progress Card,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
697849d2fe146afa33024605,विद्यार्थ्यांना त्यांच्या स्वतःच्या प्रगतीवर चिंतन करण्याच्या प्रक्रियेत सहभागी केले जाते.,Student role,A3. Holistic Progress Card,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
697849d2fe146afa33024606,विद्यार्थ्यांची शिकण्यातील प्रगती पालकांपर्यंत पोहोचवताना तुम्हाला पुरेसे पाठबळ मिळते असे वाटते.,Communication,A4. Parent & Community Support,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
697849d2fe146afa33024607,पालकांशी अर्थपूर्ण पद्धतीने संवाद साधण्यासाठी तुम्हाला स्पष्ट मार्गदर्शन दिले जाते.,Guidance,A4. Parent & Community Support,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
697849d2fe146afa33024608,शाळेपलीकडील लोकांशी संवाद साधण्याची प्रक्रिया शाळेकडून सुलभ केली जाते.,Facilitation,A4. Parent & Community Support,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
697849d2fe146afa33024609,पालक किंवा समाजाचा सहभाग वाढवण्यासाठी केलेल्या प्रयत्नांची शाळेकडून दखल घेतली जाते.,Recognition,A4. Parent & Community Support,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
69784b4afe146afa33024631,NEP अंमलबजावणीसाठी शाळा स्तरावर स्पष्ट जबाबदाऱ्या निश्चित करण्यात आल्या आहेत.,Ownership,B1. Governance & Ownership,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
69784b4afe146afa33024632,NEP संबंधित निर्णय प्रक्रिया शाळेत पारदर्शक आहे.,Decision-making,B1. Governance & Ownership,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
69784b4afe146afa33024633,NEP अंमलबजावणीसाठी नेतृत्व स्तरावर सातत्याने आढावा घेतला जातो.,Accountability,B1. Governance & Ownership,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
69784b4afe146afa33024634,"NEP अंमलबजावणीसाठी आवश्यक संसाधने (मानवी, भौतिक, आर्थिक) शाळेत उपलब्ध आहेत.",Availability,B2. Capacity & Resources,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
69784b4afe146afa33024635,शिक्षक आणि कर्मचारी यांच्या क्षमताविकासासाठी नियोजित प्रयत्न केले जातात.,Capacity building,B2. Capacity & Resources,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
69784b4afe146afa33024636,नवीन उपक्रमांसाठी आवश्यक वेळ आणि पाठबळ दिले जाते.,Support,B2. Capacity & Resources,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
69784b4afe146afa33024637,शाळेत बदल स्वीकारण्याची आणि शिकण्याची सकारात्मक संस्कृती आहे.,Culture,B3. Culture & Mindset,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
69784b4afe146afa33024638,अपयशाला शिकण्याची संधी म्हणून पाहिले जाते.,Psychological safety,B3. Culture & Mindset,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
69784b4afe146afa33024639,शिक्षक आणि कर्मचाऱ्यांना नवे प्रयोग करण्यास प्रोत्साहन दिले जाते.,Innovation,B3. Culture & Mindset,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
69784b4afe146afa3302463a,NEP संबंधित प्रक्रिया शाळेत दस्तऐवजीकरण केलेल्या आहेत.,Clarity,B4. Systems & Processes,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
69784b4afe146afa3302463b,प्रक्रिया राबवताना सुसंगतता आणि सातत्य राखले जाते.,Consistency,B4. Systems & Processes,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
69784b4afe146afa3302463c,प्रणाली सुधारण्यासाठी अभिप्रायाचा वापर केला जातो.,Feedback loops,B4. Systems & Processes,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
69784b4afe146afa3302463d,NEP अंमलबजावणीची प्रगती मोजण्यासाठी स्पष्ट निर्देशक निश्चित केले आहेत.,Indicators,B5. Monitoring & Review,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
69784b4afe146afa3302463e,नियमित पुनरावलोकनांमधून सुधारणा करण्यासाठी निर्णय घेतले जातात.,Review,B5. Monitoring & Review,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
69784b4afe146afa3302463f,पुनरावलोकन निष्कर्ष सर्व संबंधित भागधारकांपर्यंत पोहोचवले जातात.,Communication,B5. Monitoring & Review,पूर्णतः सहमत,सहमत,असहमत,पूर्णतः असहमत
